title,year,genres,keywords,cast,director,overview
Inception,2010,Sci-Fi Thriller Action,dream subconscious heist,Leonardo DiCaprio,Christopher Nolan,dream subconscious heist
Interstellar,2014,Sci-Fi Drama,space time blackhole,Matthew McConaughey,Christopher Nolan,space time blackhole
The Dark Knight,2008,Action Crime,joker gotham chaos,Christian Bale,Christopher Nolan,joker gotham chaos
Batman Begins,2005,Action Crime,origin vigilante,Christian Bale,Christopher Nolan,origin vigilante
The Prestige,2006,Drama Mystery,magician rivalry,Christian Bale,Christopher Nolan,magician rivalry
Memento,2000,Mystery Thriller,memory revenge,Guy Pearce,Christopher Nolan,memory revenge
Tenet,2020,Sci-Fi Action,time inversion,John David Washington,Christopher Nolan,time inversion
Avatar,2009,Sci-Fi Adventure,alien planet,Sam Worthington,James Cameron,alien planet
Titanic,1997,Romance Drama,ship love tragedy,Leonardo DiCaprio,James Cameron,ship love tragedy
The Matrix,1999,Sci-Fi Action,simulation hacker,Keanu Reeves,Wachowski,simulation hacker
John Wick,2014,Action Thriller,assassin revenge,Keanu Reeves,Chad Stahelski,assassin revenge
Mad Max Fury Road,2015,Action Adventure,post apocalypse,Tom Hardy,George Miller,post apocalypse
The Godfather,1972,Crime Drama,mafia family,Al Pacino,Francis Ford Coppola,mafia family
Pulp Fiction,1994,Crime Drama,nonlinear crime,John Travolta,Quentin Tarantino,nonlinear crime
Django Unchained,2012,Western Drama,revenge slavery,Jamie Foxx,Quentin Tarantino,revenge slavery
The Shawshank Redemption,1994,Drama,prison hope,Tim Robbins,Frank Darabont,prison hope
Forrest Gump,1994,Drama Romance,life journey,Tom Hanks,Robert Zemeckis,life journey
Avengers Endgame,2019,Action Sci-Fi,superhero time travel,Robert Downey Jr,Russo Brothers,superhero time travel
Iron Man,2008,Action Sci-Fi,armor tech hero,Robert Downey Jr,Jon Favreau,armor tech hero
Doctor Strange,2016,Fantasy Action,magic dimension,Benedict Cumberbatch,Scott Derrickson,magic dimension
Spider-Man No Way Home,2021,Action Sci-Fi,multiverse hero,Tom Holland,Jon Watts,multiverse hero
Guardians of the Galaxy,2014,Sci-Fi Comedy,space team,Chris Pratt,James Gunn,space team
Alien,1979,Sci-Fi Horror,space creature,Sigourney Weaver,Ridley Scott,space creature
Blade Runner 2049,2017,Sci-Fi Thriller,replicant future,Ryan Gosling,Denis Villeneuve,replicant future
Arrival,2016,Sci-Fi Drama,alien communication,Amy Adams,Denis Villeneuve,alien communication
Inception 1,2010,Sci-Fi Thriller Action,dream subconscious heist,Leonardo DiCaprio,Christopher Nolan,dream subconscious heist
Interstellar 1,2014,Sci-Fi Drama,space time blackhole,Matthew McConaughey,Christopher Nolan,space time blackhole
The Dark Knight 1,2008,Action Crime,joker gotham chaos,Christian Bale,Christopher Nolan,joker gotham chaos
Batman Begins 1,2005,Action Crime,origin vigilante,Christian Bale,Christopher Nolan,origin vigilante
The Prestige 1,2006,Drama Mystery,magician rivalry,Christian Bale,Christopher Nolan,magician rivalry
Memento 1,2000,Mystery Thriller,memory revenge,Guy Pearce,Christopher Nolan,memory revenge
Tenet 1,2020,Sci-Fi Action,time inversion,John David Washington,Christopher Nolan,time inversion
Avatar 1,2009,Sci-Fi Adventure,alien planet,Sam Worthington,James Cameron,alien planet
Titanic 1,1997,Romance Drama,ship love tragedy,Leonardo DiCaprio,James Cameron,ship love tragedy
The Matrix 1,1999,Sci-Fi Action,simulation hacker,Keanu Reeves,Wachowski,simulation hacker
John Wick 1,2014,Action Thriller,assassin revenge,Keanu Reeves,Chad Stahelski,assassin revenge
Mad Max Fury Road 1,2015,Action Adventure,post apocalypse,Tom Hardy,George Miller,post apocalypse
The Godfather 1,1972,Crime Drama,mafia family,Al Pacino,Francis Ford Coppola,mafia family
Pulp Fiction 1,1994,Crime Drama,nonlinear crime,John Travolta,Quentin Tarantino,nonlinear crime
Django Unchained 1,2012,Western Drama,revenge slavery,Jamie Foxx,Quentin Tarantino,revenge slavery
The Shawshank Redemption 1,1994,Drama,prison hope,Tim Robbins,Frank Darabont,prison hope
Forrest Gump 1,1994,Drama Romance,life journey,Tom Hanks,Robert Zemeckis,life journey
Avengers Endgame 1,2019,Action Sci-Fi,superhero time travel,Robert Downey Jr,Russo Brothers,superhero time travel
Iron Man 1,2008,Action Sci-Fi,armor tech hero,Robert Downey Jr,Jon Favreau,armor tech hero
Doctor Strange 1,2016,Fantasy Action,magic dimension,Benedict Cumberbatch,Scott Derrickson,magic dimension
Spider-Man No Way Home 1,2021,Action Sci-Fi,multiverse hero,Tom Holland,Jon Watts,multiverse hero
Guardians of the Galaxy 1,2014,Sci-Fi Comedy,space team,Chris Pratt,James Gunn,space team
Alien 1,1979,Sci-Fi Horror,space creature,Sigourney Weaver,Ridley Scott,space creature
Blade Runner 2049 1,2017,Sci-Fi Thriller,replicant future,Ryan Gosling,Denis Villeneuve,replicant future
Arrival 1,2016,Sci-Fi Drama,alien communication,Amy Adams,Denis Villeneuve,alien communication
Inception 2,2010,Sci-Fi Thriller Action,dream subconscious heist,Leonardo DiCaprio,Christopher Nolan,dream subconscious heist
Interstellar 2,2014,Sci-Fi Drama,space time blackhole,Matthew McConaughey,Christopher Nolan,space time blackhole
The Dark Knight 2,2008,Action Crime,joker gotham chaos,Christian Bale,Christopher Nolan,joker gotham chaos
Batman Begins 2,2005,Action Crime,origin vigilante,Christian Bale,Christopher Nolan,origin vigilante
The Prestige 2,2006,Drama Mystery,magician rivalry,Christian Bale,Christopher Nolan,magician rivalry
Memento 2,2000,Mystery Thriller,memory revenge,Guy Pearce,Christopher Nolan,memory revenge
Tenet 2,2020,Sci-Fi Action,time inversion,John David Washington,Christopher Nolan,time inversion
Avatar 2,2009,Sci-Fi Adventure,alien planet,Sam Worthington,James Cameron,alien planet
Titanic 2,1997,Romance Drama,ship love tragedy,Leonardo DiCaprio,James Cameron,ship love tragedy
The Matrix 2,1999,Sci-Fi Action,simulation hacker,Keanu Reeves,Wachowski,simulation hacker
John Wick 2,2014,Action Thriller,assassin revenge,Keanu Reeves,Chad Stahelski,assassin revenge
Mad Max Fury Road 2,2015,Action Adventure,post apocalypse,Tom Hardy,George Miller,post apocalypse
The Godfather 2,1972,Crime Drama,mafia family,Al Pacino,Francis Ford Coppola,mafia family
Pulp Fiction 2,1994,Crime Drama,nonlinear crime,John Travolta,Quentin Tarantino,nonlinear crime
Django Unchained 2,2012,Western Drama,revenge slavery,Jamie Foxx,Quentin Tarantino,revenge slavery
The Shawshank Redemption 2,1994,Drama,prison hope,Tim Robbins,Frank Darabont,prison hope
Forrest Gump 2,1994,Drama Romance,life journey,Tom Hanks,Robert Zemeckis,life journey
Avengers Endgame 2,2019,Action Sci-Fi,superhero time travel,Robert Downey Jr,Russo Brothers,superhero time travel
Iron Man 2,2008,Action Sci-Fi,armor tech hero,Robert Downey Jr,Jon Favreau,armor tech hero
Doctor Strange 2,2016,Fantasy Action,magic dimension,Benedict Cumberbatch,Scott Derrickson,magic dimension
Spider-Man No Way Home 2,2021,Action Sci-Fi,multiverse hero,Tom Holland,Jon Watts,multiverse hero
Guardians of the Galaxy 2,2014,Sci-Fi Comedy,space team,Chris Pratt,James Gunn,space team
Alien 2,1979,Sci-Fi Horror,space creature,Sigourney Weaver,Ridley Scott,space creature
Blade Runner 2049 2,2017,Sci-Fi Thriller,replicant future,Ryan Gosling,Denis Villeneuve,replicant future
Arrival 2,2016,Sci-Fi Drama,alien communication,Amy Adams,Denis Villeneuve,alien communication
Inception 3,2010,Sci-Fi Thriller Action,dream subconscious heist,Leonardo DiCaprio,Christopher Nolan,dream subconscious heist
Interstellar 3,2014,Sci-Fi Drama,space time blackhole,Matthew McConaughey,Christopher Nolan,space time blackhole
The Dark Knight 3,2008,Action Crime,joker gotham chaos,Christian Bale,Christopher Nolan,joker gotham chaos
Batman Begins 3,2005,Action Crime,origin vigilante,Christian Bale,Christopher Nolan,origin vigilante
The Prestige 3,2006,Drama Mystery,magician rivalry,Christian Bale,Christopher Nolan,magician rivalry
Memento 3,2000,Mystery Thriller,memory revenge,Guy Pearce,Christopher Nolan,memory revenge
Tenet 3,2020,Sci-Fi Action,time inversion,John David Washington,Christopher Nolan,time inversion
Avatar 3,2009,Sci-Fi Adventure,alien planet,Sam Worthington,James Cameron,alien planet
Titanic 3,1997,Romance Drama,ship love tragedy,Leonardo DiCaprio,James Cameron,ship love tragedy
The Matrix 3,1999,Sci-Fi Action,simulation hacker,Keanu Reeves,Wachowski,simulation hacker
John Wick 3,2014,Action Thriller,assassin revenge,Keanu Reeves,Chad Stahelski,assassin revenge
Mad Max Fury Road 3,2015,Action Adventure,post apocalypse,Tom Hardy,George Miller,post apocalypse
The Godfather 3,1972,Crime Drama,mafia family,Al Pacino,Francis Ford Coppola,mafia family
Pulp Fiction 3,1994,Crime Drama,nonlinear crime,John Travolta,Quentin Tarantino,nonlinear crime
Django Unchained 3,2012,Western Drama,revenge slavery,Jamie Foxx,Quentin Tarantino,revenge slavery
The Shawshank Redemption 3,1994,Drama,prison hope,Tim Robbins,Frank Darabont,prison hope
Forrest Gump 3,1994,Drama Romance,life journey,Tom Hanks,Robert Zemeckis,life journey
Avengers Endgame 3,2019,Action Sci-Fi,superhero time travel,Robert Downey Jr,Russo Brothers,superhero time travel
Iron Man 3,2008,Action Sci-Fi,armor tech hero,Robert Downey Jr,Jon Favreau,armor tech hero
