title,year,genres,keywords,cast,director,overview
Inception,2010,Action Adventure Sci-Fi,dream subconscious heist,Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page,Christopher Nolan,A skilled thief enters dreams to steal and plant ideas for high-stakes missions.
Interstellar,2014,Adventure Drama Sci-Fi,space time black hole,Matthew McConaughey Anne Hathaway Jessica Chastain,Christopher Nolan,A team of explorers travels through a wormhole to find a new home for humanity.
The Dark Knight,2008,Action Crime Drama,vigilante joker gotham chaos,Christian Bale Heath Ledger Aaron Eckhart,Christopher Nolan,"Batman faces the Joker, a criminal mastermind who pushes Gotham into anarchy."
The Shawshank Redemption,1994,Drama,prison hope redemption,Tim Robbins Morgan Freeman Bob Gunton,Frank Darabont,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather,1972,Crime Drama,mafia family patriarch,Marlon Brando Al Pacino James Caan,Francis Ford Coppola,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Pulp Fiction,1994,Crime Drama,hitman non-linear boxer,John Travolta Samuel L. Jackson Uma Thurman,Quentin Tarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
The Matrix,1999,Action Sci-Fi,simulation reality hacker,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Lana Wachowski,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Forrest Gump,1994,Drama Romance,history kindness low-iq,Tom Hanks Robin Wright Gary Sinise,Robert Zemeckis,"The presidencies of Kennedy and Johnson, the Vietnam War, and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Schindler's List,1993,Biography Drama History,holocaust world-war-ii survival,Liam Neeson Ralph Fiennes Ben Kingsley,Steven Spielberg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
The Lord of the Rings: The Return of the King,2003,Action Adventure Drama,fantasy ring quest,Elijah Wood Viggo Mortensen Ian McKellen,Peter Jackson,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Fight Club,1999,Drama,insomnia underground-club chaos,Brad Pitt Edward Norton Helena Bonham Carter,David Fincher,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Goodfellas,1990,Biography Crime Drama,mobster crime true-story,Robert De Niro Ray Liotta Joe Pesci,Martin Scorsese,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
The Silence of the Lambs,1991,Crime Drama Horror,serial-killer fbi investigator,Jodie Foster Anthony Hopkins Lawrence A. Bonney,Jonathan Demme,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Se7en,1995,Crime Drama Mystery,serial-killer seven-sins detective,Morgan Freeman Brad Pitt Kevin Spacey,David Fincher,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
The Green Mile,1999,Crime Drama Fantasy,death-row miracle prison,Tom Hanks Michael Clarke Duncan David Morse,Frank Darabont,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
Saving Private Ryan,1998,Drama War,invasion world-war-ii rescue,Tom Hanks Matt Damon Tom Sizemore,Steven Spielberg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Spirited Away,2001,Animation Adventure Family,fantasy spirits fantasy-world,Daveigh Chase Suzanne Pleshette Jason Marsden,Hayao Miyazaki,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
The Lion King,1994,Animation Adventure Drama,lion prince african-savanna,Matthew Broderick Jeremy Irons James Earl Jones,Roger Allers Rob Minkoff,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Gladiator,2000,Action Adventure Drama,roman-empire gladiator revenge,Russell Crowe Joaquin Phoenix Connie Nielsen,Ridley Scott,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Parasite,2019,Drama Thriller,social-commentary class-struggle,Song Kang-ho Lee Sun-kyun Cho Yeo-jeong,Bong Joon-ho,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
The Departed,2006,Action Crime Drama,undercover-cop mole mafia,Leonardo DiCaprio Matt Damon Jack Nicholson,Martin Scorsese,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
The Prestige,2006,Drama Mystery Sci-Fi,magician rivalry trick,Hugh Jackman Christian Bale Scarlett Johansson,Christopher Nolan,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Whiplash,2014,Drama Music,drummer obsession jazz,Miles Teller J.K. Simmons Melissa Benoist,Damien Chazelle,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Django Unchained,2012,Drama Western,slavery bounty-hunter revenge,Jamie Foxx Christoph Waltz Leonardo DiCaprio,Quentin Tarantino,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
The Usual Suspects,1995,Crime Mystery Thriller,interrogation twist-ending heist,Kevin Spacey Gabriel Byrne Chazz Palminteri,Bryan Singer,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
Leon: The Professional,1994,Action Crime Drama,hitman girl-protagonist revenge,Jean Reno Gary Oldman Natalie Portman,Luc Besson,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
The Intouchables,2011,Biography Comedy Drama,friendship disability caregiver,François Cluzet Omar Sy Anne Le Ny,Olivier Nakache Éric Toledano,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
The Pianist,2002,Biography Drama Music,world-war-ii survivor holocaust,Adrien Brody Thomas Kretschmann Frank Finlay,Roman Polanski,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
American History X,1998,Drama,neo-nazi racism redemption,Edward Norton Edward Furlong Beverly D'Angelo,Tony Kaye,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
Back to the Future,1985,Adventure Comedy Sci-Fi,time-travel 80s car,Michael J. Fox Christopher Lloyd Lea Thompson,Robert Zemeckis,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
