title,year,genres,keywords,cast,director,overview
12 Angry Men,1970,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_0_A Actor_0_B Actor_0_C,Director_0,A compelling story titled '12 Angry Men' that explores themes of sci-fi and human nature.
1917,1971,Drama Mystery Thriller,drama legacy destiny redemption,Actor_1_A Actor_1_B Actor_1_C,Director_1,A compelling story titled '1917' that explores themes of drama and human nature.
2046,1972,Action Crime Drama,action legacy destiny redemption,Actor_2_A Actor_2_B Actor_2_C,Director_2,A compelling story titled '2046' that explores themes of action and human nature.
300,1973,Comedy Drama Romance,comedy legacy destiny redemption,Actor_3_A Actor_3_B Actor_3_C,Director_3,A compelling story titled '300' that explores themes of comedy and human nature.
A Beautiful Mind,1974,Crime Mystery Thriller,crime legacy destiny redemption,Actor_4_A Actor_4_B Actor_4_C,Director_4,A compelling story titled 'A Beautiful Mind' that explores themes of crime and human nature.
A Better Tomorrow,1975,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_5_A Actor_5_B Actor_5_C,Director_5,A compelling story titled 'A Better Tomorrow' that explores themes of adventure and human nature.
A Clockwork Orange,1976,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_6_A Actor_6_B Actor_6_C,Director_6,A compelling story titled 'A Clockwork Orange' that explores themes of sci-fi and human nature.
A Day's Pleasure,1977,Drama Mystery Thriller,drama legacy destiny redemption,Actor_7_A Actor_7_B Actor_7_C,Director_7,A compelling story titled 'A Day's Pleasure' that explores themes of drama and human nature.
A Man for All Seasons,1978,Action Crime Drama,action legacy destiny redemption,Actor_8_A Actor_8_B Actor_8_C,Director_8,A compelling story titled 'A Man for All Seasons' that explores themes of action and human nature.
A Separation,1979,Comedy Drama Romance,comedy legacy destiny redemption,Actor_9_A Actor_9_B Actor_9_C,Director_9,A compelling story titled 'A Separation' that explores themes of comedy and human nature.
About Elly,1980,Crime Mystery Thriller,crime legacy destiny redemption,Actor_10_A Actor_10_B Actor_10_C,Director_10,A compelling story titled 'About Elly' that explores themes of crime and human nature.
Aladdin (2019),1981,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_11_A Actor_11_B Actor_11_C,Director_11,A compelling story titled 'Aladdin (2019)' that explores themes of adventure and human nature.
Alexander,1982,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_12_A Actor_12_B Actor_12_C,Director_12,A compelling story titled 'Alexander' that explores themes of sci-fi and human nature.
Alien,1983,Drama Mystery Thriller,drama legacy destiny redemption,Actor_13_A Actor_13_B Actor_13_C,Director_13,A compelling story titled 'Alien' that explores themes of drama and human nature.
Aliens,1984,Action Crime Drama,action legacy destiny redemption,Actor_14_A Actor_14_B Actor_14_C,Director_14,A compelling story titled 'Aliens' that explores themes of action and human nature.
All About Eve,1985,Comedy Drama Romance,comedy legacy destiny redemption,Actor_15_A Actor_15_B Actor_15_C,Director_15,A compelling story titled 'All About Eve' that explores themes of comedy and human nature.
All Quiet on the Western Front,1986,Crime Mystery Thriller,crime legacy destiny redemption,Actor_16_A Actor_16_B Actor_16_C,Director_16,A compelling story titled 'All Quiet on the Western Front' that explores themes of crime and human nature.
Amadeus,1987,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_17_A Actor_17_B Actor_17_C,Director_17,A compelling story titled 'Amadeus' that explores themes of adventure and human nature.
American Beauty,1988,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_18_A Actor_18_B Actor_18_C,Director_18,A compelling story titled 'American Beauty' that explores themes of sci-fi and human nature.
American History X,1989,Drama Mystery Thriller,drama legacy destiny redemption,Actor_19_A Actor_19_B Actor_19_C,Director_19,A compelling story titled 'American History X' that explores themes of drama and human nature.
Amores Perros,1990,Action Crime Drama,action legacy destiny redemption,Actor_20_A Actor_20_B Actor_20_C,Director_20,A compelling story titled 'Amores Perros' that explores themes of action and human nature.
