title,release_date,genres,year,director
Avatar,2009-12-10,Action Adventure Fantasy Science Fiction,2009,Unknown
Pirates of the Caribbean: At World's End,2007-05-19,Adventure Fantasy Action,2007,Unknown
Spectre,2015-10-26,Action Adventure Crime,2015,Unknown
The Dark Knight Rises,2012-07-16,Action Crime Drama Thriller,2012,Unknown
John Carter,2012-03-07,Action Adventure Science Fiction,2012,Unknown
Spider-Man 3,2007-05-01,Fantasy Action Adventure,2007,Unknown
Tangled,2010-11-24,Animation Family,2010,Unknown
Avengers: Age of Ultron,2015-04-22,Action Adventure Science Fiction,2015,Unknown
Harry Potter and the Half-Blood Prince,2009-07-07,Adventure Fantasy Family,2009,Unknown
Batman v Superman: Dawn of Justice,2016-03-23,Action Adventure Fantasy,2016,Unknown
Superman Returns,2006-06-28,Adventure Fantasy Action Science Fiction,2006,Unknown
Quantum of Solace,2008-10-30,Adventure Action Thriller Crime,2008,Unknown
Pirates of the Caribbean: Dead Man's Chest,2006-06-20,Adventure Fantasy Action,2006,Unknown
The Lone Ranger,2013-07-03,Action Adventure Western,2013,Unknown
Man of Steel,2013-06-12,Action Adventure Fantasy Science Fiction,2013,Unknown
The Chronicles of Narnia: Prince Caspian,2008-05-15,Adventure Family Fantasy,2008,Unknown
The Avengers,2012-04-25,Science Fiction Action Adventure,2012,Unknown
Pirates of the Caribbean: On Stranger Tides,2011-05-14,Adventure Action Fantasy,2011,Unknown
Men in Black 3,2012-05-23,Action Comedy Science Fiction,2012,Unknown
The Hobbit: The Battle of the Five Armies,2014-12-10,Action Adventure Fantasy,2014,Unknown
The Amazing Spider-Man,2012-06-27,Action Adventure Fantasy,2012,Unknown
Robin Hood,2010-05-12,Action Adventure,2010,Unknown
The Hobbit: The Desolation of Smaug,2013-12-11,Adventure Fantasy,2013,Unknown
The Golden Compass,2007-12-04,Adventure Fantasy,2007,Unknown
King Kong,2005-12-14,Adventure Drama Action,2005,Unknown
Titanic,1997-11-18,Drama Romance Thriller,1997,Unknown
Captain America: Civil War,2016-04-27,Adventure Action Science Fiction,2016,Unknown
Battleship,2012-04-11,Thriller Action Adventure Science Fiction,2012,Unknown
Jurassic World,2015-06-09,Action Adventure Science Fiction Thriller,2015,Unknown
Skyfall,2012-10-25,Action Adventure Thriller,2012,Unknown
Spider-Man 2,2004-06-25,Action Adventure Fantasy,2004,Unknown
Iron Man 3,2013-04-18,Action Adventure Science Fiction,2013,Unknown
Alice in Wonderland,2010-03-03,Family Fantasy Adventure,2010,Unknown
X-Men: The Last Stand,2006-05-24,Adventure Action Science Fiction Thriller,2006,Unknown
Monsters University,2013-06-20,Animation Family,2013,Unknown
Transformers: Revenge of the Fallen,2009-06-19,Science Fiction Action Adventure,2009,Unknown
Transformers: Age of Extinction,2014-06-25,Science Fiction Action Adventure,2014,Unknown
Oz: The Great and Powerful,2013-03-07,Fantasy Adventure Family,2013,Unknown
The Amazing Spider-Man 2,2014-04-16,Action Adventure Fantasy,2014,Unknown
TRON: Legacy,2010-12-10,Adventure Action Science Fiction,2010,Unknown
Cars 2,2011-06-11,Animation Family Adventure Comedy,2011,Unknown
Green Lantern,2011-06-16,Adventure Action Thriller Science Fiction,2011,Unknown
Toy Story 3,2010-06-16,Animation Family Comedy,2010,Unknown
Terminator Salvation,2009-05-20,Action Science Fiction Thriller,2009,Unknown
Furious 7,2015-04-01,Action,2015,Unknown
World War Z,2013-06-20,Action Drama Horror Science Fiction Thriller,2013,Unknown
X-Men: Days of Future Past,2014-05-15,Action Adventure Fantasy Science Fiction,2014,Unknown
Star Trek Into Darkness,2013-05-05,Action Adventure Science Fiction,2013,Unknown
Jack the Giant Slayer,2013-02-27,Action Family Fantasy,2013,Unknown
The Great Gatsby,2013-05-10,Drama Romance,2013,Unknown
Prince of Persia: The Sands of Time,2010-05-19,Adventure Fantasy Action Romance,2010,Unknown
Pacific Rim,2013-07-11,Action Science Fiction Adventure,2013,Unknown
Transformers: Dark of the Moon,2011-06-28,Action Science Fiction Adventure,2011,Unknown
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,Adventure Action,2008,Unknown
The Good Dinosaur,2015-11-14,Adventure Animation Family,2015,Unknown
Brave,2012-06-21,Animation Adventure Comedy Family Action Fantasy,2012,Unknown
Star Trek Beyond,2016-07-07,Action Adventure Science Fiction,2016,Unknown
WALL·E,2008-06-22,Animation Family,2008,Unknown
Rush Hour 3,2007-08-08,Action Comedy Crime Thriller,2007,Unknown
2012,2009-10-10,Action Adventure Science Fiction,2009,Unknown
A Christmas Carol,2009-11-04,Animation Drama,2009,Unknown
Jupiter Ascending,2015-02-04,Science Fiction Fantasy Action Adventure,2015,Unknown
The Legend of Tarzan,2016-06-29,Action Adventure,2016,Unknown
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,Adventure Family Fantasy,2005,Unknown
X-Men: Apocalypse,2016-05-18,Science Fiction,2016,Unknown
The Dark Knight,2008-07-16,Drama Action Crime Thriller,2008,Unknown
Up,2009-05-13,Animation Comedy Family Adventure,2009,Unknown
Monsters vs Aliens,2009-03-19,Animation Family Adventure Science Fiction,2009,Unknown
Iron Man,2008-04-30,Action Science Fiction Adventure,2008,Unknown
Hugo,2011-11-22,Adventure Drama Family,2011,Unknown
Wild Wild West,1999-06-29,Action Adventure Comedy Science Fiction Western,1999,Unknown
